[#13] #VEHICLE0000000000001,4497.0,[#13] #VEHICLE0000000000002,4624.0,[#13] #VEHICLE0000000000003,3809.0,[#13] #VEHICLE0000000000004,3442.0,[#13] #VEHICLE0000000000005,3756.0,[#13] #VEHICLE0000000000006,2915.0,[#13] #VEHICLE0000000000007,3764.0,[#13] #VEHICLE0000000000008,4577.0,[#13] #VEHICLE0000000000009,4339.0,[#13] #VEHICLE0000000000010,2922.0,[#13] #VEHICLE0000000000011,3280.0,[#13] #VEHICLE0000000000012,3133.0,[#13] #VEHICLE0000000000013,4192.0,[#13] #VEHICLE0000000000014,3107.0,[#13] #VEHICLE0000000000015,3098.0,[#13] #VEHICLE0000000000016,3445.0,[#13] #VEHICLE0000000000017,2438.0
[#14] #VEHICLE0000000000001,3486.0,[#14] #VEHICLE0000000000002,3722.0,[#14] #VEHICLE0000000000003,3644.0,[#14] #VEHICLE0000000000004,3349.0,[#14] #VEHICLE0000000000005,4079.0,[#14] #VEHICLE0000000000006,2973.0,[#14] #VEHICLE0000000000007,3399.0,[#14] #VEHICLE0000000000008,3558.0,[#14] #VEHICLE0000000000009,2808.0,[#14] #VEHICLE0000000000010,3017.0,[#14] #VEHICLE0000000000011,3279.0,[#14] #VEHICLE0000000000012,2822.0,[#14] #VEHICLE0000000000013,3484.0,[#14] #VEHICLE0000000000014,4235.0,[#14] #VEHICLE0000000000015,3533.0,[#14] #VEHICLE0000000000016,4201.0,[#14] #VEHICLE0000000000017,3868.0
[#15] #VEHICLE0000000000001,3199.0,[#15] #VEHICLE0000000000002,3392.0,[#15] #VEHICLE0000000000003,3093.0,[#15] #VEHICLE0000000000004,2493.0,[#15] #VEHICLE0000000000005,2434.0,[#15] #VEHICLE0000000000006,3080.0,[#15] #VEHICLE0000000000007,4006.0,[#15] #VEHICLE0000000000008,4487.0,[#15] #VEHICLE0000000000009,3683.0,[#15] #VEHICLE0000000000010,3696.0,[#15] #VEHICLE0000000000011,2524.0,[#15] #VEHICLE0000000000012,2716.0,[#15] #VEHICLE0000000000013,4283.0,[#15] #VEHICLE0000000000014,3836.0,[#15] #VEHICLE0000000000015,4000.0,[#15] #VEHICLE0000000000016,3980.0,[#15] #VEHICLE0000000000017,3449.0
[#16] #VEHICLE0000000000001,2812.0,[#16] #VEHICLE0000000000002,4683.0,[#16] #VEHICLE0000000000003,4455.0,[#16] #VEHICLE0000000000004,4192.0,[#16] #VEHICLE0000000000005,3935.0,[#16] #VEHICLE0000000000006,2687.0,[#16] #VEHICLE0000000000007,4474.0,[#16] #VEHICLE0000000000008,3651.0,[#16] #VEHICLE0000000000009,3466.0,[#16] #VEHICLE0000000000010,3793.0,[#16] #VEHICLE0000000000011,3475.0,[#16] #VEHICLE0000000000012,4369.0,[#16] #VEHICLE0000000000013,3479.0,[#16] #VEHICLE0000000000014,2629.0,[#16] #VEHICLE0000000000015,3982.0,[#16] #VEHICLE0000000000016,3834.0,[#16] #VEHICLE0000000000017,3352.0
[#17] #VEHICLE0000000000001,4133.0,[#17] #VEHICLE0000000000002,2969.0,[#17] #VEHICLE0000000000003,3479.0,[#17] #VEHICLE0000000000004,3146.0,[#17] #VEHICLE0000000000005,3099.0,[#17] #VEHICLE0000000000006,3211.0,[#17] #VEHICLE0000000000007,3047.0,[#17] #VEHICLE0000000000008,3386.0,[#17] #VEHICLE0000000000009,3605.0,[#17] #VEHICLE0000000000010,4529.0,[#17] #VEHICLE0000000000011,2616.0,[#17] #VEHICLE0000000000012,2901.0,[#17] #VEHICLE0000000000013,3257.0,[#17] #VEHICLE0000000000014,3371.0,[#17] #VEHICLE0000000000015,2747.0,[#17] #VEHICLE0000000000016,4173.0,[#17] #VEHICLE0000000000017,2665.0
[#18] #VEHICLE0000000000001,3085.0,[#18] #VEHICLE0000000000002,4200.0,[#18] #VEHICLE0000000000003,2770.0,[#18] #VEHICLE0000000000004,3289.0,[#18] #VEHICLE0000000000005,3359.0,[#18] #VEHICLE0000000000006,2556.0,[#18] #VEHICLE0000000000007,3695.0,[#18] #VEHICLE0000000000008,3544.0,[#18] #VEHICLE0000000000009,2739.0,[#18] #VEHICLE0000000000010,4189.0,[#18] #VEHICLE0000000000011,3476.0,[#18] #VEHICLE0000000000012,4122.0,[#18] #VEHICLE0000000000013,3604.0,[#18] #VEHICLE0000000000014,2037.0,[#18] #VEHICLE0000000000015,3000.0,[#18] #VEHICLE0000000000016,3312.0,[#18] #VEHICLE0000000000017,2914.0
[#19] #VEHICLE0000000000001,2491.0,[#19] #VEHICLE0000000000002,4278.0,[#19] #VEHICLE0000000000003,3743.0,[#19] #VEHICLE0000000000004,3051.0,[#19] #VEHICLE0000000000005,2538.0,[#19] #VEHICLE0000000000006,2445.0,[#19] #VEHICLE0000000000007,4118.0,[#19] #VEHICLE0000000000008,3799.0,[#19] #VEHICLE0000000000009,2867.0,[#19] #VEHICLE0000000000010,4269.0,[#19] #VEHICLE0000000000011,2574.0,[#19] #VEHICLE0000000000012,3780.0,[#19] #VEHICLE0000000000013,4100.0,[#19] #VEHICLE0000000000014,2700.0,[#19] #VEHICLE0000000000015,2912.0,[#19] #VEHICLE0000000000016,3108.0,[#19] #VEHICLE0000000000017,2713.0
[#20] #VEHICLE0000000000001,3846.0,[#20] #VEHICLE0000000000002,2769.0,[#20] #VEHICLE0000000000003,3027.0,[#20] #VEHICLE0000000000004,2608.0,[#20] #VEHICLE0000000000005,3995.0,[#20] #VEHICLE0000000000006,3283.0,[#20] #VEHICLE0000000000007,2962.0,[#20] #VEHICLE0000000000008,4560.0,[#20] #VEHICLE0000000000009,4580.0,[#20] #VEHICLE0000000000010,3141.0,[#20] #VEHICLE0000000000011,2334.0,[#20] #VEHICLE0000000000012,2976.0,[#20] #VEHICLE0000000000013,4116.0,[#20] #VEHICLE0000000000014,2051.0,[#20] #VEHICLE0000000000015,4247.0,[#20] #VEHICLE0000000000016,4264.0,[#20] #VEHICLE0000000000017,2256.0
[#21] #VEHICLE0000000000001,3117.0,[#21] #VEHICLE0000000000002,3461.0,[#21] #VEHICLE0000000000003,3907.0,[#21] #VEHICLE0000000000004,3445.0,[#21] #VEHICLE0000000000005,3773.0,[#21] #VEHICLE0000000000006,3366.0,[#21] #VEHICLE0000000000007,3611.0,[#21] #VEHICLE0000000000008,4268.0,[#21] #VEHICLE0000000000009,2721.0,[#21] #VEHICLE0000000000010,3676.0,[#21] #VEHICLE0000000000011,3133.0,[#21] #VEHICLE0000000000012,2910.0,[#21] #VEHICLE0000000000013,4370.0,[#21] #VEHICLE0000000000014,2445.0,[#21] #VEHICLE0000000000015,4128.0,[#21] #VEHICLE0000000000016,3188.0,[#21] #VEHICLE0000000000017,2811.0
[#22] #VEHICLE0000000000001,2979.0,[#22] #VEHICLE0000000000002,3408.0,[#22] #VEHICLE0000000000003,4570.0,[#22] #VEHICLE0000000000004,3361.0,[#22] #VEHICLE0000000000005,2457.0,[#22] #VEHICLE0000000000006,3450.0,[#22] #VEHICLE0000000000007,4339.0,[#22] #VEHICLE0000000000008,3737.0,[#22] #VEHICLE0000000000009,4623.0,[#22] #VEHICLE0000000000010,3245.0,[#22] #VEHICLE0000000000011,3144.0,[#22] #VEHICLE0000000000012,2254.0,[#22] #VEHICLE0000000000013,4351.0,[#22] #VEHICLE0000000000014,3797.0,[#22] #VEHICLE0000000000015,4455.0,[#22] #VEHICLE0000000000016,3482.0,[#22] #VEHICLE0000000000017,2907.0
