[#11] #VEHICLE0000000000001,5471.0,[#11] #VEHICLE0000000000002,5258.0,[#11] #VEHICLE0000000000003,5362.0,[#11] #VEHICLE0000000000004,5967.0,[#11] #VEHICLE0000000000005,5252.0,[#11] #VEHICLE0000000000006,4607.0,[#11] #VEHICLE0000000000007,5853.0,[#11] #VEHICLE0000000000008,5616.0,[#11] #VEHICLE0000000000009,6074.0,[#11] #VEHICLE0000000000010,4519.0,[#11] #VEHICLE0000000000011,4504.0,[#11] #VEHICLE0000000000012,5799.0,[#11] #VEHICLE0000000000013,6051.0
[#12] #VEHICLE0000000000001,6363.0,[#12] #VEHICLE0000000000002,5899.0,[#12] #VEHICLE0000000000003,5617.0,[#12] #VEHICLE0000000000004,4924.0,[#12] #VEHICLE0000000000005,6159.0,[#12] #VEHICLE0000000000006,5840.0,[#12] #VEHICLE0000000000007,5235.0,[#12] #VEHICLE0000000000008,6321.0,[#12] #VEHICLE0000000000009,6465.0,[#12] #VEHICLE0000000000010,6115.0,[#12] #VEHICLE0000000000011,4857.0,[#12] #VEHICLE0000000000012,5296.0,[#12] #VEHICLE0000000000013,6714.0
[#13] #VEHICLE0000000000001,4447.0,[#13] #VEHICLE0000000000002,4832.0,[#13] #VEHICLE0000000000003,6157.0,[#13] #VEHICLE0000000000004,4892.0,[#13] #VEHICLE0000000000005,5543.0,[#13] #VEHICLE0000000000006,4729.0,[#13] #VEHICLE0000000000007,6134.0,[#13] #VEHICLE0000000000008,5138.0,[#13] #VEHICLE0000000000009,5923.0,[#13] #VEHICLE0000000000010,5692.0,[#13] #VEHICLE0000000000011,5306.0,[#13] #VEHICLE0000000000012,4788.0,[#13] #VEHICLE0000000000013,4876.0
[#14] #VEHICLE0000000000001,4309.0,[#14] #VEHICLE0000000000002,4903.0,[#14] #VEHICLE0000000000003,5902.0,[#14] #VEHICLE0000000000004,3741.0,[#14] #VEHICLE0000000000005,4884.0,[#14] #VEHICLE0000000000006,5232.0,[#14] #VEHICLE0000000000007,6373.0,[#14] #VEHICLE0000000000008,5177.0,[#14] #VEHICLE0000000000009,5165.0,[#14] #VEHICLE0000000000010,5870.0,[#14] #VEHICLE0000000000011,4887.0,[#14] #VEHICLE0000000000012,5834.0,[#14] #VEHICLE0000000000013,6356.0
[#15] #VEHICLE0000000000001,4433.0,[#15] #VEHICLE0000000000002,6141.0,[#15] #VEHICLE0000000000003,5384.0,[#15] #VEHICLE0000000000004,5812.0,[#15] #VEHICLE0000000000005,5415.0,[#15] #VEHICLE0000000000006,5482.0,[#15] #VEHICLE0000000000007,4894.0,[#15] #VEHICLE0000000000008,5828.0,[#15] #VEHICLE0000000000009,5167.0,[#15] #VEHICLE0000000000010,5805.0,[#15] #VEHICLE0000000000011,5138.0,[#15] #VEHICLE0000000000012,4846.0,[#15] #VEHICLE0000000000013,5788.0
[#16] #VEHICLE0000000000001,5191.0,[#16] #VEHICLE0000000000002,5886.0,[#16] #VEHICLE0000000000003,5311.0,[#16] #VEHICLE0000000000004,5045.0,[#16] #VEHICLE0000000000005,6029.0,[#16] #VEHICLE0000000000006,4712.0,[#16] #VEHICLE0000000000007,5718.0,[#16] #VEHICLE0000000000008,5457.0,[#16] #VEHICLE0000000000009,5765.0,[#16] #VEHICLE0000000000010,4862.0,[#16] #VEHICLE0000000000011,5070.0,[#16] #VEHICLE0000000000012,5192.0,[#16] #VEHICLE0000000000013,5727.0
[#17] #VEHICLE0000000000001,4816.0,[#17] #VEHICLE0000000000002,5993.0,[#17] #VEHICLE0000000000003,4746.0,[#17] #VEHICLE0000000000004,5372.0,[#17] #VEHICLE0000000000005,4757.0,[#17] #VEHICLE0000000000006,4316.0,[#17] #VEHICLE0000000000007,5696.0,[#17] #VEHICLE0000000000008,5582.0,[#17] #VEHICLE0000000000009,5513.0,[#17] #VEHICLE0000000000010,5373.0,[#17] #VEHICLE0000000000011,4894.0,[#17] #VEHICLE0000000000012,4900.0,[#17] #VEHICLE0000000000013,5178.0
[#18] #VEHICLE0000000000001,6089.0,[#18] #VEHICLE0000000000002,6033.0,[#18] #VEHICLE0000000000003,6176.0,[#18] #VEHICLE0000000000004,6879.0,[#18] #VEHICLE0000000000005,6216.0,[#18] #VEHICLE0000000000006,5501.0,[#18] #VEHICLE0000000000007,6921.0,[#18] #VEHICLE0000000000008,6177.0,[#18] #VEHICLE0000000000009,6601.0,[#18] #VEHICLE0000000000010,4752.0,[#18] #VEHICLE0000000000011,5093.0,[#18] #VEHICLE0000000000012,5536.0,[#18] #VEHICLE0000000000013,6374.0
[#19] #VEHICLE0000000000001,5525.0,[#19] #VEHICLE0000000000002,5910.0,[#19] #VEHICLE0000000000003,5362.0,[#19] #VEHICLE0000000000004,5530.0,[#19] #VEHICLE0000000000005,4808.0,[#19] #VEHICLE0000000000006,4815.0,[#19] #VEHICLE0000000000007,6092.0,[#19] #VEHICLE0000000000008,5364.0,[#19] #VEHICLE0000000000009,5234.0,[#19] #VEHICLE0000000000010,4774.0,[#19] #VEHICLE0000000000011,3992.0,[#19] #VEHICLE0000000000012,4673.0,[#19] #VEHICLE0000000000013,6058.0
[#20] #VEHICLE0000000000001,5239.0,[#20] #VEHICLE0000000000002,4466.0,[#20] #VEHICLE0000000000003,4703.0,[#20] #VEHICLE0000000000004,6025.0,[#20] #VEHICLE0000000000005,4982.0,[#20] #VEHICLE0000000000006,4625.0,[#20] #VEHICLE0000000000007,5201.0,[#20] #VEHICLE0000000000008,5958.0,[#20] #VEHICLE0000000000009,5171.0,[#20] #VEHICLE0000000000010,6153.0,[#20] #VEHICLE0000000000011,4958.0,[#20] #VEHICLE0000000000012,4804.0,[#20] #VEHICLE0000000000013,5422.0
