39.0,VEHICLE0000000000010,posX,136.0,posY,43.0,status,MOVE
40.0,VEHICLE0000000000001,posX,130.0,posY,8.0,status,MOVE
40.0,VEHICLE0000000000002,posX,132.0,posY,8.0,status,MOVE
40.0,VEHICLE0000000000003,posX,141.0,posY,20.0,status,MOVE
40.0,VEHICLE0000000000004,posX,131.0,posY,32.0,status,MOVE
40.0,VEHICLE0000000000005,posX,139.0,posY,35.0,status,MOVE
40.0,VEHICLE0000000000008,posX,108.0,posY,39.0,status,MOVE
40.0,VEHICLE0000000000009,posX,129.0,posY,43.0,status,MOVE
40.0,VEHICLE0000000000010,posX,137.0,posY,43.0,status,MOVE
41.0,VEHICLE0000000000001,posX,129.0,posY,8.0,status,MOVE
41.0,VEHICLE0000000000002,posX,131.0,posY,8.0,status,MOVE
41.0,VEHICLE0000000000003,posX,141.0,posY,19.0,status,MOVE
41.0,VEHICLE0000000000004,posX,131.0,posY,31.0,status,MOVE
41.0,VEHICLE0000000000005,posX,138.0,posY,35.0,status,MOVE
41.0,VEHICLE0000000000008,posX,108.0,posY,40.0,status,MOVE
41.0,VEHICLE0000000000009,posX,130.0,posY,43.0,status,MOVE
41.0,VEHICLE0000000000010,posX,138.0,posY,43.0,status,MOVE
42.0,VEHICLE0000000000001,posX,128.0,posY,8.0,status,MOVE
42.0,VEHICLE0000000000002,posX,130.0,posY,8.0,status,MOVE
42.0,VEHICLE0000000000003,posX,141.0,posY,18.0,status,MOVE
42.0,VEHICLE0000000000004,posX,131.0,posY,30.0,status,MOVE
42.0,VEHICLE0000000000005,posX,137.0,posY,35.0,status,MOVE
42.0,VEHICLE0000000000008,posX,108.0,posY,41.0,status,MOVE
42.0,VEHICLE0000000000009,posX,131.0,posY,43.0,status,MOVE
42.0,VEHICLE0000000000010,posX,139.0,posY,43.0,status,MOVE
43.0,VEHICLE0000000000001,posX,127.0,posY,8.0,status,MOVE
43.0,VEHICLE0000000000002,posX,129.0,posY,8.0,status,MOVE
43.0,VEHICLE0000000000003,posX,141.0,posY,17.0,status,MOVE
43.0,VEHICLE0000000000004,posX,131.0,posY,29.0,status,MOVE
43.0,VEHICLE0000000000005,posX,136.0,posY,35.0,status,MOVE
43.0,VEHICLE0000000000008,posX,108.0,posY,42.0,status,MOVE
43.0,VEHICLE0000000000009,posX,132.0,posY,43.0,status,MOVE
43.0,VEHICLE0000000000010,posX,140.0,posY,43.0,status,MOVE
44.0,VEHICLE0000000000001,posX,126.0,posY,8.0,status,MOVE
44.0,VEHICLE0000000000002,posX,128.0,posY,8.0,status,MOVE
44.0,VEHICLE0000000000003,posX,141.0,posY,16.0,status,MOVE
44.0,VEHICLE0000000000004,posX,131.0,posY,28.0,status,MOVE
44.0,VEHICLE0000000000005,posX,135.0,posY,35.0,status,MOVE
44.0,VEHICLE0000000000008,posX,109.0,posY,42.0,status,MOVE
